English,Hindi,Marathi,Sanskrit
histamine headache,हिस्टामीन सिरदर्द,हिस्टामिन डोकेदुखी,हिस्टामीनशिरःशूलम्
histamine receptor,हिस्टामीन ग्राहक,हिस्टामिन रिसेप्टर,हिस्टामीनग्राहकम्
histamine test,हिस्टामीन परीक्षण,हिस्टामिन चाचणी,हिस्टामीनपरीक्षा
histaminic,हिस्टामीन संबंधी,हिस्टामिन,हिस्टामीनीय
histiocyte,हिस्टियोसाइट,ऊतकपेशी,ऊतकोशिका
histiocytoma,हिस्टियोसाइटोमा,ऊतकपेशी गाठ,ऊतकोशिकार्बुदम्
histiocytosis,हिस्टियोसाइटोसिस,ऊतकपेशी रोग,ऊतकोशिकारोगः
histiocytosis X,हिस्टियोसाइटोसिस एक्स,ऊतकपेशी रोग एक्स,ऊतकोशिकारोगः एक्स
histo-,ऊतक-,ऊतक-,ऊतक-
histochemistry,ऊतक रसायन,ऊतक रसायनशास्त्र,ऊतकरसायनशास्त्रम्
histocompatibility,ऊतक अनुकूलता,ऊतक सुसंगतता,ऊतकसामञ्जस्यम्
histocompatible,ऊतक अनुकूल,ऊतक सुसंगत,ऊतकसुसंगत
histogenesis,ऊतक उत्पत्ति,ऊतक निर्मिती,ऊतकोत्पत्तिः
histogenous,ऊतकजनित,ऊतकजनित,ऊतकोत्पन्न
histogram,आयत चित्र,स्तंभालेख,आयतचित्रम्
histoid,ऊतक सदृश,ऊतकसदृश,ऊतकसदृशम्
histological,ऊतकीय,ऊतकीय,ऊतकीय
histological grade,ऊतक श्रेणी,ऊतक श्रेणी,ऊतकश्रेणी
histology,ऊतक विज्ञान,ऊतकशास्त्र,ऊतकविज्ञानम्
histolytica,ऊतकलयी,ऊतकलयी,ऊतकलयकारी
histoplasmosis,हिस्टोप्लाज्मोसिस,हिस्टोप्लाझ्मोसिस,हिस्टोप्लाज्मोसिसः
history,इतिहास,इतिहास,इतिहासः
history taking,इतिहास लेना,इतिहास घेणे,इतिहासग्रहणम्
histotoxic,ऊतक विषैला,ऊतक विषारी,ऊतकविषाक्त
HIV,एचआईवी,एचआयव्ही,एचआईवी
hives,पित्ती,पिटया,शीतपित्तम्
HIV-negative,एचआईवी ऋणात्मक,एचआयव्ही निगेटिव्ह,एचआईवी ऋणात्मक
HIV-positive,एचआईवी धनात्मक,एचआयव्ही पॉझिटिव्ह,एचआईवी धनात्मक
HLA,मानव श्वेताणु प्रतिजन,मानव ल्युकोसाइट अँटिजन,मानवश्वेताणुप्रतिजनम्
HLA system,एचएलए प्रणाली,एचएलए प्रणाली,एचएलए प्रणाली
HMO,स्वास्थ्य रखरखाव संगठन,आरोग्य देखभाल संघटना,स्वास्थ्यरक्षासंगठनम्
hoarse,कर्कश,कर्कश,कर्कशम्
hoarseness,कर्कशता,आवाजाची कर्कशता,कर्कशता
hobnail liver,कीलित यकृत,खिळेदार यकृत,कीलितयकृत्
Hodgkin disease,हॉजकिन रोग,हॉजकिन रोग,हॉजकिन रोगः
hoist,उठाने की युक्ति,उचलण्याचे यंत्र,उत्तोलकयन्त्रम्
hole in the heart,हृदय में छेद,हृदयात छिद्र,हृदयछिद्रम्
Holger-Nielsen method,हॉलगर-नीलसन विधि,हॉलगर-निल्सन पद्धत,हॉलगर-नीलसन विधिः
holism,समग्रता,संपूर्णत्व,समग्रवादः
holistic,समग्र,संपूर्ण,समग्र
holistic care,समग्र देखभाल,संपूर्ण काळजी,समग्रचिकित्सा
holo-,पूर्ण-,संपूर्ण-,पूर्ण-
holocrine,पूर्णस्रावी,संपूर्ण स्रावी,पूर्णस्रावी
Holter system,होल्टर प्रणाली,होल्टर प्रणाली,होल्टर प्रणाली
homeo-,समान-,सम-,सम-
homeopathic,होम्योपैथिक,होमिओपॅथिक,होम्योपैथीय
homeopathic medicine,होम्योपैथिक औषधि,होमिओपॅथिक औषध,होम्योपैथीयौषधम्
homeopathist,होम्योपैथ,होमिओपॅथ,होम्योपैथचिकित्सकः
homeopathy,होम्योपैथी,होमिओपॅथी,होम्योपैथी
homeostasis,समस्थिति,समस्थिती,समस्थितिः
homo-,समान-,सम-,सम-
homogeneous,समांग,एकसमान,समजातीय
homogenize,समांगीकरण,एकसमान करणे,समजातीकरणम्
homograft,समप्रत्यारोपण,समकलम,समप्रत्यारोपणम्
homolateral,समपार्श्व,समबाजू,समपार्श्वीय
homologous,समजात,समजात,समजातीय
homoplasty,समशल्यक्रिया,समशस्त्रक्रिया,समशल्यकर्म
homosexual,समलैंगिक,समलिंगी,समलैङ्गिक
homosexuality,समलैंगिकता,समलिंगीपणा,समलैङ्गिकता
homozygous,समयुग्मजी,समयुग्मज,समयुग्मजीय
hook,हुक,आकडा,अङ्कुशः
hookworm,हुकवर्म,आकड्याचा किडा,अङ्कुशकृमिः
hookworm disease,हुकवर्म रोग,आकड्याच्या किड्याचा रोग,अङ्कुशकृमिरोगः
hordeolum,बिलनी,डोळ्याची गुरदी,अञ्जनम्
horizontal,क्षैतिज,आडवा,क्षैतिजीय
horizontal fissure,क्षैतिज विदर,आडवी विदर,क्षैतिजविदरम्
horizontal plane,क्षैतिज तल,आडवे तल,क्षैतिजतलम्
hormonal,हार्मोनल,संप्रेरक,हार्मोनीय
hormone,हार्मोन,संप्रेरक,हार्मोनम्
hormone replacement therapy,हार्मोन प्रतिस्थापन चिकित्सा,संप्रेरक प्रतिस्थापन उपचार,हार्मोनप्रतिस्थापनचिकित्सा
horn,सींग,शिंग,शृङ्गम्
Horner syndrome,हॉर्नर सिंड्रोम,हॉर्नर लक्षणसमूह,हॉर्नर लक्षणसमूहः
horny,शृंगी,शिंगासारखा,शृङ्गीय
kerato-,शृंगी-,शिंगासारखा-,शृङ्गी-
horseshoe kidney,घोड़े की नाल गुर्दा,घोड्याच्या नालसारखी मूत्रपिंड,अश्वनालवृक्कम्
Horton syndrome,हॉर्टन सिंड्रोम,हॉर्टन लक्षणसमूह,हॉर्टन लक्षणसमूहः
hose,नली,नळी,नलिका
hospice,धर्मशाला,धर्मशाळा,धर्मशाला
hospital,अस्पताल,रुग्णालय,चिकित्सालयम्
hospital bed,अस्पताल बिस्तर,रुग्णालयाचे पलंग,चिकित्सालयशय्या
Hospital Activity Analysis,अस्पताल गतिविधि विश्लेषण,रुग्णालय क्रियाकलाप विश्लेषण,चिकित्सालयक्रियाविश्लेषणम्
hospital care,अस्पताल देखभाल,रुग्णालय काळजी,चिकित्सालयचिकित्सा
hospital chaplain,अस्पताल पादरी,रुग्णालय धर्मगुरू,चिकित्सालयधर्मगुरुः
hospital corner,अस्पताल कोना,रुग्णालय कोपरा,चिकित्सालयकोणः
hospital doctor,अस्पताल चिकित्सक,रुग्णालय डॉक्टर,चिकित्सालयवैद्यः
hospital gangrene,अस्पताल गैंग्रीन,रुग्णालय कोथबी,चिकित्सालयगैन्ग्रीनम्
hospital infection,अस्पताल संक्रमण,रुग्णालय संसर्ग,चिकित्सालयसंक्रमणम्
hospital manager,अस्पताल प्रबंधक,रुग्णालय व्यवस्थापक,चिकित्सालयप्रबन्धकः
hospitalisation,अस्पताल में भर्ती,रुग्णालयात दाखल करणे,चिकित्सालयप्रवेशः
hospitalise,अस्पताल में भर्ती करना,रुग्णालयात दाखल करणे,चिकित्सालयप्रवेशः
hospital porter,अस्पताल कुली,रुग्णालय कुली,चिकित्सालयवाहकः
hospital trust,अस्पताल न्यास,रुग्णालय न्यास,चिकित्सालयन्यासः
host,मेजबान,यजमान,आतिथेयः
hot,गरम,गरम,उष्णम्
hot flush,गर्म लहर,ताप लाट,उष्णलहरः
hot pack,गर्म पैक,गरम पट्टी,उष्णपट्टिका
hot wax treatment,गर्म मोम उपचार,गरम मेण उपचार,उष्णमोमचिकित्सा
hourglass stomach,घंटाकार आमाशय,घटिकाकार पोट,घटीयन्त्राकारामाशयः
hourly,प्रति घंटा,प्रतितास,प्रतिघण्टाम्
house man,हाउस मैन,घरातील अधिकारी,गृहपुरुषः
house mite,घर की माइट,घरातील माइट,गृहकीटः
house officer,हाउस ऑफिसर,घरातील अधिकारी,गृहअधिकारी
House of Lords,हाउस ऑफ लॉर्ड्स,हाउस ऑफ लॉर्ड्स,लॉर्डसभा
house physician,हाउस चिकित्सक,घरातील वैद्य,गृहचिकित्सकः
HPRT,एचपीआरटी,एचपीआरटी,हाइपोक्सान्थिन फॉस्फोराइबोसिल ट्रान्सफरेज
HPV,मानव पैपिलोमा विषाणु,मानव पॅपिलोमा विषाणू,मानवपैपिलोमाविषाणुः
HRT,हार्मोन प्रतिस्थापन चिकित्सा,संप्रेरक प्रतिस्थापन उपचार,हार्मोनप्रतिस्थापनचिकित्सा
Hühner test,ह्यूनर परीक्षण,ह्यूनर चाचणी,ह्यूनर परीक्षा
human,मानव,मानवी,मानवीय
human anatomy,मानव शरीररचना,मानव शरीररचना,मानवशरीररचनाशास्त्रम्
human being,मानव,माणूस,मानवः
human chorionic gonadotrophin,मानव कोरियोनिक गोनैडोट्रोफिन,मानव गर्भस्थ गोनॅडोट्रॉफिन,मानवकोरियोनिकगोनैडोट्रोफिनम्
human crutch,मानव बैसाखी,मानवी बैसाखी,मानवदण्डः
human deficiency virus,मानव न्यूनता विषाणु,मानव कमतरता विषाणू,मानवन्यूनताविषाणुः
human leucocyte antigen,मानव श्वेताणु प्रतिजन,मानव श्वेतपेशी प्रतिपिंड,मानवश्वेताणुप्रतिजनम्
human nature,मानव स्वभाव,मानवी स्वभाव,मानवस्वभावः
human papillomavirus,मानव पैपिलोमा विषाणु,मानव पॅपिलोमा विषाणू,मानवपैपिलोमाविषाणुः
humectant,आर्द्रक,आर्द्रक,आर्द्रकम्
humeral,ह्यूमरल,प्रगंडास्थीय,प्रगण्डास्थीय
humerojugular,ह्यूमरोजुगुलर,प्रगंड-कंठशिरा,प्रगण्डकण्ठशिरीय
humeroulnar joint,ह्यूमरोअल्नर संधि,प्रगंड-अंतःप्रकोष्ठ सांधा,प्रगण्डान्तःप्रकोष्ठसन्धिः
humerus,ह्यूमरस,प्रगंडास्थी,प्रगण्डास्थि
humid,आर्द्र,ओलसर,आर्द्र
humidifier,आर्द्रक,आर्द्रक,आर्द्रकारकम्
humoral,शारीरिक द्रव,शारीरिक द्रव,शारीरिकद्रवीय
humour,द्रव,द्रव,द्रवम्
hunchback,कूबड़ा,कुबडा,कुब्जः
hunger,भूख,भूक,क्षुधा
hunger pains,भूख दर्द,भूक वेदना,क्षुधाशूलम्
hungry,भूखा,भुकेला,क्षुधित
Hunter syndrome,हंटर सिंड्रोम,हंटर लक्षणसमूह,हन्टर लक्षणसमूहः
Huntington disease,हंटिंग्टन रोग,हंटिंग्टन रोग,हन्टिङ्ग्टन रोगः
Hurler syndrome,हर्लर सिंड्रोम,हर्लर लक्षणसमूह,हर्लर लक्षणसमूहः
hurt,चोट,दुखापत,क्षतिः
husky,कर्कश,कर्कश,कर्कशम्
Hutchinson tooth,हचिंसन दांत,हचिन्सन दात,हचिन्सन दन्तः
hyalin,हाइलिन,हायलिन,हाइलिनम्
hyaline,हाइलिनी,हायलिन,हाइलिनीय
hyaline cartilage,हाइलिन उपास्थि,हायलिन कूर्चर,हाइलिनास्थिः
hyaline membrane disease,हाइलिन झिल्ली रोग,हायलिन पडदा रोग,हाइलिनकलारोगः
hyalitis,हाइलाइटिस,हायलायटिस,हाइलाइटिसः
hyaloid membrane,हाइलॉइड झिल्ली,हायलॉइड पडदा,हाइलॉइडकलम्
hyaluronic acid,हाइलुरोनिक अम्ल,हायलुरोनिक आम्ल,हाइलुरोनिक अम्लम्
hyaluronidase,हाइलुरोनिडेज,हायलुरोनिडेज,हाइलुरोनिडेजम्
hybrid,संकर,संकर,सङ्करम्
hybridoma,हाइब्रिडोमा,हायब्रिडोमा,हाइब्रिडोमा
HYCOSY,हाइकोसी,हायकोसी,हिस्टेरोसाल्पिङ्गोकॉन्ट्रास्ट सोनोग्राफी
hydatid,हाइडैटिड,हायडॅटिड,हाइडैटिड
hydatid cyst,हाइडैटिड पुटी,हायडॅटिड पुटी,हाइडैटिडकोशः
hydatid disease,हाइडैटिड रोग,हायडॅटिड रोग,हाइडैटिड रोगः
hydatid mole,हाइडैटिड तिल,हायडॅटिड मोल,हाइडैटिड मोलम्
hydatidiform mole,हाइडैटिडिफॉर्म तिल,हायडॅटिडिफॉर्म मोल,हाइडैटिडिरूपतिलम्
hydraemia,जलरक्तता,जलरक्तता,जलरक्तता
hydramnios,जलावरण अधिकता,जलावरण वाढ,जलावरणाधिक्यम्
hydrate,जलयोजित,जलयोजित,जलयोजितम्
hydro-,जल-,जल-,जल-
hydro-,हाइड्रो-,हायड्रो-,जल-
hydroa,पनीय रोग,पाणी रोग,जलरोगः
hydrocele,जलकोश,जलगळू,जलकोशः
hydrocephalus,जलशीर्ष,जलशीर्ष,जलशीर्षम्
hydrochloric acid,हाइड्रोक्लोरिक अम्ल,हायड्रोक्लोरिक आम्ल,हाइड्रोक्लोरिक अम्लम्
hydrochlorothiazide,हाइड्रोक्लोरोथायजाइड,हायड्रोक्लोरोथायझाइड,हाइड्रोक्लोरोथायजाइडम्
hydrocolpos,जलयोनि,जलयोनी,जलयोनिः
hydrocortisone,हाइड्रोकॉर्टिसोन,हायड्रोकॉर्टिसोन,हाइड्रोकॉर्टिसोनम्
hydrocyanic acid,हाइड्रोसायनिक अम्ल,हायड्रोसायनिक आम्ल,हाइड्रोसायनिक अम्लम्
hydrogen,हाइड्रोजन,हायड्रोजन,जारकम्
hydrogen peroxide,हाइड्रोजन पेरोक्साइड,हायड्रोजन पेरॉक्साइड,हाइड्रोजन पेरोक्साइडम्
hydroma,जलार्बुद,जलार्बुद,जलार्बुदम्
hydrometer,जलमापक,जलमापक,जलमापकम्
hydromyelia,मेरुरज्जु जल,मेरुरज्जू जल,मेरुरज्जुजलम्
hydronephrosis,जलवृक्कता,जलवृक्कता,जलवृक्कता
hydropathy,जलचिकित्सा,जलचिकित्सा,जलचिकित्सा
hydropericardium,जलहृदयावरण,जलहृदयावरण,जलहृदयावरणम्
hydroperitoneum,जलउदरावरण,जलउदरावरण,जलउदरावरणम्
hydrophobia,जलभीति,जलभीति,जलभीतिः
hydrophthalmos,नेत्र जलवृद्धि,डोळा जलवाढ,नेत्रजलवृद्धिः
hydropneumothorax,जलवायुवक्ष,जलवायु वक्ष,जलवायुवक्षम्
hydrops,जलसंचय,जलसंचय,जलसंचयः
hydrorhoea,जलस्राव,जलस्राव,जलस्रावः
hydrotherapy,जलचिकित्सा,जलचिकित्सा,जलचिकित्सा
hydrothorax,जलवक्ष,जलवक्ष,जलवक्षम्
hydrotubation,जलअंडवाहिनी प्रसार,जलअंडवाहिनी प्रसार,जलडिम्बवाहिनीविस्तारम्
hydroureter,जलमूत्रवाहिनी,जलमूत्रवाहिनी,जलमूत्रवाहिनी
hydroxide,हाइड्रॉक्साइड,हायड्रॉक्साइड,हाइड्रॉक्साइडम्
hydroxyproline,हाइड्रॉक्सीप्रोलीन,हायड्रॉक्सीप्रोलीन,हाइड्रॉक्सीप्रोलीनम्
hygiene,स्वच्छता,स्वच्छता,स्वच्छता
hygienist,स्वच्छताविद,स्वच्छताशास्त्रज्ञ,स्वच्छताविद्
hygr-,आर्द्र-,ओलसर-,आर्द्र-
hygro-,आर्द्र-,ओलसर-,आर्द्र-
hygroma,आर्द्रार्बुद,आर्द्रगाठ,आर्द्रार्बुदम्
hygrometer,आर्द्रतामापी,आर्द्रतामापक,आर्द्रतामापकम्
hymen,योनिच्छद,कौमार्यकला,योनिपटलम्
hymenectomy,योनिच्छद छेदन,कौमार्यकला उच्छेदन,योनिपटलच्छेदनम्
hymenotomy,योनिच्छद विदारण,कौमार्यकला छेदन,योनिपटलच्छेदनम्
hyoglossus,ह्योग्लोसस,जिह्वास्नायू,जिह्वापेशी
hyoid,ह्योइड,जिह्वास्थी,जिह्वास्थीय
hyoid bone,ह्योइड अस्थि,जिह्वास्थी,जिह्वास्थि
hyoscine,हायोसीन,हायोसीन,हायोसीनम्
hyp-,निम्न-,कमी-,न्यून-
hypo-,निम्न-,कमी-,न्यून-
hypaemia,अल्परक्तता,अल्परक्तता,अल्परक्तता
hypalgesia,अल्पवेदना,अल्प वेदना,अल्पवेदना
hyper-,अधिक-,जास्त-,अधिक-
hyperacidity,अत्याम्लता,अतिआम्लता,अत्याम्लता
hyperactive,अतिसक्रिय,अतिसक्रिय,अतिसक्रिय
hyperacusis,अतिश्रवण,अतिश्रवण,अतिश्रवणम्
Hypothermic,अल्प तापमानी,अल्प तापमानी,अल्प-तापमानी
Hypothesis,परिकल्पना,परिकल्पना,परिकल्पना
Hypothyroidism,अल्प थायरॉयड क्रिया,अल्प थायरॉईड क्रिया,अल्प-थायरॉयड-क्रिया
Hypotonia,अल्प तनाव,अल्प स्नायू ताण,अल्प-तनावः
Hypotonic,अल्प तनिक,अल्प तनिक,अल्प-तनिकः
Hypotropia,अधोवर्ती दृष्टि,खाली वाकणे,अधः-वर्ती-दृष्टिः
Hypoventilation,अल्प श्वसन,अल्प श्वसन,अल्प-श्वसनम्
Hypovitaminosis,अल्प विटामिन,अल्प जीवनसत्त्व,अल्प-विटामिनम्
Hypovolaemia,अल्प रक्तता,अल्प रक्तता,अल्प-रक्तता
Hypoxaemia,अल्प ऑक्सीजन रक्तता,अल्प ऑक्सिजन रक्तता,अल्प-ऑक्सीजन-रक्तता
Hypoxanthine Phosphoribosyl Transferase,हाइपोक्सेन्थिन फॉस्फोराइबोसिल ट्रांसफरेज,हायपोक्झँथिन फॉस्फोरायबोसिल ट्रान्सफरेज,हाइपोक्सेन्थिन-फॉस्फोराइबोसिल-ट्रान्सफरेजम्
HPRT,एचपीआरटी,एचपीआरटी,एचपीआरटी
Hypoxia,अल्प ऑक्सीजन,अल्प ऑक्सिजन,अल्प-ऑक्सीजनम्
Hypoxic,अल्प ऑक्सीजनी,अल्प ऑक्सिजनी,अल्प-ऑक्सीजनी
Hyposaemia,अल्प ऑक्सीजन रक्तता,अल्प ऑक्सिजन रक्तता,अल्प-ऑक्सीजन-रक्तता
Hypsarrhythmia,हिप्सरिथमिया,हिप्सरिथमिया,हिप्सरिथमिया
Hyster-,गर्भाशय,गर्भाशय,गर्भाशयः
Hysterectomy,गर्भाशय उच्छेदन,गर्भाशय छेदन,गर्भाशय-उच्छेदनम्
Hysteria,हिस्टीरिया,उन्माद,उन्मादः
Hysterical,हिस्टीरियाग्रस्त,उन्मादी,उन्मादी
Hysterical Personality,हिस्टीरियाग्रस्त व्यक्तित्व,उन्मादी व्यक्तित्व,उन्मादी-व्यक्तित्वम्
Hysterics,हिस्टीरिया दौरा,उन्माद झटका,उन्माद-आक्रमणम्
Hysterocele,गर्भाशय हर्निया,गर्भाशय हर्निया,गर्भाशय-हर्निया
Hysteropexy,गर्भाशय स्थिरीकरण,गर्भाशय स्थिरीकरण,गर्भाशय-स्थिरीकरणम्
Hysteroptosis,गर्भाशय पतन,गर्भाशय खाली पडणे,गर्भाशय-पतनम्
Hysterosalpingography,गर्भाशय डिंबवाहिनी चित्रण,गर्भाशय बीजवाहिनी चित्रण,गर्भाशय-डिम्बवाहिनी-चित्रणम्
Hysterosalpingo-Contrast Sonography,गर्भाशय डिंबवाहिनी विपरीत सोनोग्राफी,गर्भाशय बीजवाहिनी विपरीत सोनोग्राफी,गर्भाशय-डिम्बवाहिनी-विपरीत-सोनोग्राफी
HYCOSY,हाइकोसी,हायकोसी,हाइकोसी
Hysterosalpingography,गर्भाशय डिंबवाहिनी रेडियोग्राफी,गर्भाशय बीजवाहिनी क्ष-किरण चित्रण,गर्भाशय-डिम्बवाहिनी-रेडियोग्राफी
Hysteroscope,गर्भाशयदर्शी,गर्भाशयदर्शक,गर्भाशय-दर्शी
Hysteroscopy,गर्भाशयदर्शन,गर्भाशयदर्शन,गर्भाशय-दर्शनम्
Hysterotomy,गर्भाशय चीरण,गर्भाशय चीरण,गर्भाशय-छेदनम्
Hysterotrachelorraphy,गर्भाशय ग्रीवा मरम्मत,गर्भाशय ग्रीवा मरम्मत,गर्भाशय-ग्रीवा-सीवनम्
Iasis,रोग प्रत्यय,रोग प्रत्यय,रोग-प्रत्ययः
Iatrogenic,चिकित्साजनित,उपचारजन्य,चिकित्सा-जनितः
Iatrogenic Infection,चिकित्साजनित संक्रमण,उपचारजन्य संसर्ग,चिकित्सा-जनित-सङ्क्रमणम्
Ibuprofen,आइब्यूप्रोफेन,आयब्युप्रोफेन,आइब्यूप्रोफेनम्
IBS,चिड़चिड़ा आंत्र संलक्षण,चिडचिडे आंतडे लक्षणसमूह,चिड्चिड-आन्त्र-लक्षण-समूहः
Ice,बर्फ,बर्फ,हिमम्
Ice Pack,बर्फ की थैली,बर्फाची पिशवी,हिम-पुटम्
Ichthyosis,मत्स्य त्वचा रोग,माशाची त्वचा रोग,मत्स्य-त्वचा-रोगः
ICM,अंतरराष्ट्रीय दाई परिसंघ,आंतरराष्ट्रीय सुईणी परिसंघ,अन्तरराष्ट्रीय-सुईणी-परिसङ्घः
ICN,अंतरराष्ट्रीय परिचारिका परिषद,आंतरराष्ट्रीय परिचारिका परिषद,अन्तरराष्ट्रीय-परिचारिका-परिषद्
ICP,कपालांतर दाब,करोटीतील दाब,कपाल-अन्तः-दाबः
ICRC,अंतरराष्ट्रीय रेड क्रॉस समिति,आंतरराष्ट्रीय रेड क्रॉस समिती,अन्तरराष्ट्रीय-रक्त-क्रॉस-समितिः
ICSH,अंतरकोशिक उद्दीपक हार्मोन,आंतरकोशिक उत्तेजक संप्रेरक,अन्तः-कोशिक-उद्दीपक-हार्मोनम्
Icteric,पीलिया संबंधी,कावीळ संबंधी,पीलिका-सम्बन्धी
Icterus,पीलिया,कावीळ,पीलिका
Jaundice,पीलिया,कावीळ,पीलिका
Icterus Gravis Neonatorum,नवजात गंभीर पीलिया,नवजात गंभीर कावीळ,नवजात-गम्भीर-पीलिका
Ictus,आघात,झटका,आघातः
Id,अचेतन,अचेतन,अचेतनम्
Ideation,विचारणा,विचार,विचारणा
Identical Twins,समरूप जुड़वां,एकसारखी जुळी मुले,समरूप-यमलाः
Identification,पहचान,ओळख,पहचानम्
Identity,पहचान,ओळख,पहचानम्
Identity Bracelet,पहचान कंगन,ओळख बांगडी,पहचान-कङ्कणम्
Naming Band,नामकरण पट्टी,नामकरण पट्टी,नामकरण-पट्टिका
Ideo-,विचार,विचार,विचारः
Ideomotor,विचार-गत्यात्मक,विचार-गतिमय,विचार-गत्यात्मकः
Idiopathic,अज्ञात कारणी,अज्ञात कारणी,अज्ञात-कारणी
Idiopathic Epilepsy,अज्ञात कारणी मिर्गी,अज्ञात कारणी अपस्मार,अज्ञात-कारणी-अपस्मारः
Idiopathy,अज्ञात रोग,अज्ञात रोग,अज्ञात-रोगः
Idiosyncrasy,व्यक्तिगत विशेषता,वैयक्तिक वैशिष्ट्य,वैयक्तिक-विशेषता
Idiot,मूर्ख/मंदबुद्धि,मूर्ख,मूर्खः
Idiot Savant,विद्वान मूर्ख,विद्वान मूर्ख,विद्वान-मूर्खः
Idioventricular,स्व-निलय,स्व-निलय,स्व-निलयः
Idioventricular Rhythm,स्व-निलय लय,स्व-निलय लय,स्व-निलय-लयः
IDK,आंतरिक गर्भनिरोध उपकरण,आंतरिक गर्भनिरोधक उपकरण,आन्तरिक-गर्भनिरोध-उपकरणम्
IUD,अंतर्गर्भाशय युक्ति,आंतर्गर्भाशय साधन,अन्तर्गर्भाशय-युक्तिः
IL-1,इंटरल्यूकिन 1,इंटरल्यूकिन १,इन्टरल्यूकिन-१
IL-2,इंटरल्यूकिन 2,इंटरल्यूकिन २,इन्टरल्यूकिन-२
Ile-,इलियम,इलियम,इलियमम्
Ilea,इलियम बहुवचन,इलियम अनेकवचन,इलियम-बहुवचनम्
Ileac,इलियम संबंधी,इलियम संबंधी,इलियम-सम्बन्धी
Ileal,इलियम संबंधी,इलियम संबंधी,इलियम-सम्बन्धी
Ileal Bladder,इलियम मूत्राशय,इलियम मूत्राशय,इलियम-मूत्राशयम्
Conduit,वाहिनी,नलिका,नलिका
Ileal Pouch,इलियम थैली,इलियम पिशवी,इलियम-थैली
Ileectomy,इलियम उच्छेदन,इलियम छेदन,इलियम-उच्छेदनम्
Ileitis,इलियम शोथ,इलियम दाह,इलियम-शोथः
Ileocaecal,इलियम-उंधानी,इलियम-उंधानी,इलियम-उन्धानी
Ileocaecal Valve,इलियम-उंधानी कपाट,इलियम-उंधानी झडप,इलियम-उन्धानी-कपाटम्
Ileocaecocystoplasty,इलियम-उंधानी-मूत्राशय प्लास्टी,इलियम-उंधानी-मूत्राशय प्लास्टी,इलियम-उन्धानी-मूत्राशय-प्लास्टी
Ileocolic,इलियम-बृहदांत्र,इलियम-बृहदांत्र,इलियम-बृहदान्त्र
Ileocolitis,इलियम-बृहदांत्र शोथ,इलियम-बृहदांत्र दाह,इलियम-बृहदान्त्र-शोथः
Ileocolostomy,इलियम-बृहदांत्र मुखीकरण,इलियम-बृहदांत्र मुखीकरण,इलियम-बृहदान्त्र-मुखीकरणम्
Ileorectal,इलियम-मलाशय,इलियम-मलाशय,इलियम-मलाशयः
Ileostomy,इलियम मुखीकरण,इलियम मुखीकरण,इलियम-मुखीकरणम्
Ileostomy Bag,इलियम थैली,इलियम पिशवी,इलियम-थैली
Ileum,इलियम/छोटी आंत अंतिम भाग,लहान आंतडे शेवटचा भाग,इलियमम्
Ileus,आंत्र अवरोध,आंतडे अवरोध,आन्त्र-अवरोधः
Ili-,इलियम,इलियम,इलियमम्
Iliac,इलियम संबंधी,इलियम संबंधी,इलियम-सम्बन्धी
Iliac Crest,इलियम शिखर,इलियम शिखर,इलियम-शिखरम्
Iliac Fossa,इलियम खात,इलियम खळगा,इलियम-खातम्
Iliac Region,इलियम प्रदेश,इलियम प्रदेश,इलियम-प्रदेशः
Iliac Spine,इलियम कांटा,इलियम काटा,इलियम-कण्टकम्
Iliococcygeal,इलियम-अनुत्रिक,इलियम-अनुत्रिक,इलियम-अनुत्रिकः
Iliolumbar,इलियम-कटि,इलियम-कटि,इलियम-कटिः
Iliopectineal,इलियम-अंजनास्थि,इलियम-अंजनास्थि,इलियम-अञ्जनास्थि
Iliopectineal Eminence,इलियम-अंजनास्थि उभार,इलियम-अंजनास्थि उभार,इलियम-अञ्जनास्थि-उन्नतिः
Iliopsoas,इलियम-कटिपृष्ठ पेशी,इलियम-कटिपृष्ठ स्नायू,इलियम-कटि-पृष्ठ-पेशी
Iliotibial Tract,इलियम-अंतःप्रज्ञा पथ,इलियम-अंतःप्रज्ञा मार्ग,इलियम-जानु-मार्गः
Ilium,इलियम अस्थि,इलियम हाड,इलियम-अस्थि
Pelvis,श्रोणि,श्रोणि,श्रोणिः
Ill,बीमार/रोगी,आजारी,रोगी
Ill Health,अस्वस्थता,अस्वस्थता,अस्वस्थता
Illegal Abortion,अवैध गर्भपात,बेकायदेशीर गर्भपात,अवैध-गर्भपातः
Illness,रोग/बीमारी,आजार,रोगः
Illusion,भ्रम,भ्रम,भ्रमः
Image,प्रतिबिंब/छवि,प्रतिमा,प्रतिबिम्बम्
Imagery,कल्पना चित्रण,प्रतिमा,कल्पना-चित्रणम्
Imaginary,काल्पनिक,काल्पनिक,काल्पनिकः
Imaginary Playmate,काल्पनिक साथी,काल्पनिक सोबती,काल्पनिक-सखा
Imagination,कल्पना,कल्पना,कल्पना
Imagine,कल्पना करना,कल्पना करणे,कल्पयति
Imaging,प्रतिबिंबन/चित्रण,प्रतिमा,प्रतिबिम्बनम्
Imbalance,असंतुलन,असंतुलन,असन्तुलनम्
Immature,अपरिपक्व,अपरिपक्व,अपरिपक्वः
Immaturity,अपरिपक्वता,अपरिपक्वता,अपरिपक्वता
Immersion Foot,विसर्जन पैर,पाणी बुडवलेले पाय,विसर्जन-पादः
